OrganizationNumber,OrganizationName,boro_name,Fax,Phone,URL,latitude,longitude,Census Tract,Address1,City,Postcode,focus1,focus2,focus3,focus4,focus5,focus6,focus7,focus8,focus9,focus10,focus11,focus12,focus13,focus14,fofcus15,focus16,focus17,focus18,focus19,focus20,focus21,focus22,focus23
1730,YWCA of Brooklyn,BROOKLYN,7188585731,7188751190,http://www.ywcabklyn.org,40.68581,-73.980385,39,30 3rd Ave,Brooklyn,11217,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Health,Homelessness,Housing,"Lesbian, Gay, Bisexual, and/or Transgender",Youth Services,,,,,,,,,,,,
251,NonProfit HelpDesk,BRONX,7189468240,7184495000,http://www.nphd.org,40.573177,-74.002509,340,3001 West 37th Street,Brooklyn,11224,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Community Service & Volunteerism,Education,Employment & Job Training,Health,Homelessness,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,Youth Services,,,,,,,,,,
949,NonProfit HelpDesk,MANHATTAN,7189468240,7184495000,http://www.nphd.org,40.573177,-74.002509,340,3001 West 37th Street,Brooklyn,11224,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Community Service & Volunteerism,Education,Employment & Job Training,Health,Homelessness,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,Youth Services,,,,,,,,,,
1354,NonProfit HelpDesk,QUEENS,7189468240,7184495000,http://www.nphd.org,40.573177,-74.002509,340,3001 West 37th Street,Brooklyn,11224,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Community Service & Volunteerism,Education,Employment & Job Training,Health,Homelessness,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,Youth Services,,,,,,,,,,
1550,NonProfit HelpDesk,STATENIS,7189468240,7184495000,http://www.nphd.org,40.573177,-74.002509,340,3001 West 37th Street,Brooklyn,11224,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Community Service & Volunteerism,Education,Employment & Job Training,Health,Homelessness,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,Youth Services,,,,,,,,,,
1918,NonProfit HelpDesk,BROOKLYN,7189468240,7184495000,http://www.nphd.org,40.573177,-74.002509,340,3001 West 37th Street,Brooklyn,11224,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Community Service & Volunteerism,Education,Employment & Job Training,Health,Homelessness,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Professional Association,Victim Services,Youth Services,,,,,,,,,,
1162,YWCA of Queens,QUEENS,7183534044,7183534553,http://www.ywcaqueens.org,40.757857,-73.819077,861,42-07 Parsons Blvd.,Flushing,11355,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Community Service & Volunteerism,Education,Health,Immigration,Youth Services,,,,,,,,,,,,,,,
724,National Council of Jewish Women New York Section,MANHATTAN,2126875032,2126875030,http://www.njcwny.org,40.750971,-73.971361,88,820 Second Avenue,New York,10017,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Counseling & Support Groups,Domestic Violence,,,,,,,,,,,,,,,,,,
214,Mayor's Office for People with Disabilities,BRONX,,2126399675,http://www.nyc.gov/html/mopd/html/home/home.shtml,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Disabilities,Employment & Job Training,Health,Legal Services,,,,,,,,,,,,,,,,
913,Mayor's Office for People with Disabilities,MANHATTAN,,2126399675,http://www.nyc.gov/html/mopd/html/home/home.shtml,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Disabilities,Employment & Job Training,Health,Legal Services,,,,,,,,,,,,,,,,
1318,Mayor's Office for People with Disabilities,QUEENS,,2126399675,http://www.nyc.gov/html/mopd/html/home/home.shtml,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Disabilities,Employment & Job Training,Health,Legal Services,,,,,,,,,,,,,,,,
1514,Mayor's Office for People with Disabilities,STATENIS,,2126399675,http://www.nyc.gov/html/mopd/html/home/home.shtml,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Disabilities,Employment & Job Training,Health,Legal Services,,,,,,,,,,,,,,,,
1881,Mayor's Office for People with Disabilities,BROOKLYN,,2126399675,http://www.nyc.gov/html/mopd/html/home/home.shtml,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Disabilities,Employment & Job Training,Health,Legal Services,,,,,,,,,,,,,,,,
770,Committed to Communities,MANHATTAN,3472408321,7177334161,http://www.mobilechristianministries.com,,,,Mobile Ministries,Brooklyn,11247,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Immigration,Legal Services,Veterans & Military Families,Victim Services,,,,,,,,,,
1189,Committed to Communities,QUEENS,3472408321,7177334161,http://www.mobilechristianministries.com,,,,Mobile Ministries,Brooklyn,11247,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Immigration,Legal Services,Veterans & Military Families,Victim Services,,,,,,,,,,
1724,Committed to Communities,BROOKLYN,3472408321,7177334161,http://www.mobilechristianministries.com,,,,Mobile Ministries,Brooklyn,11247,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Immigration,Legal Services,Veterans & Military Families,Victim Services,,,,,,,,,,
175,"New York City Office of the Public Advocate, Betsy Gotbaum",BRONX,,2126697250,http://www.pubadvocate.nyc.gov,40.713001,-74.004181,29,1 Centre Street,New York,10007,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,Housing,"Lesbian, Gay, Bisexual, and/or Transgender",Veterans & Military Families,Victim Services,,,,,,,,,,,
874,"New York City Office of the Public Advocate, Betsy Gotbaum",MANHATTAN,,2126697250,http://www.pubadvocate.nyc.gov,40.713001,-74.004181,29,1 Centre Street,New York,10007,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,Housing,"Lesbian, Gay, Bisexual, and/or Transgender",Veterans & Military Families,Victim Services,,,,,,,,,,,
1280,"New York City Office of the Public Advocate, Betsy Gotbaum",QUEENS,,2126697250,http://www.pubadvocate.nyc.gov,40.713001,-74.004181,29,1 Centre Street,New York,10007,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,Housing,"Lesbian, Gay, Bisexual, and/or Transgender",Veterans & Military Families,Victim Services,,,,,,,,,,,
1477,"New York City Office of the Public Advocate, Betsy Gotbaum",STATENIS,,2126697250,http://www.pubadvocate.nyc.gov,40.713001,-74.004181,29,1 Centre Street,New York,10007,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,Housing,"Lesbian, Gay, Bisexual, and/or Transgender",Veterans & Military Families,Victim Services,,,,,,,,,,,
1842,"New York City Office of the Public Advocate, Betsy Gotbaum",BROOKLYN,,2126697250,http://www.pubadvocate.nyc.gov,40.713001,-74.004181,29,1 Centre Street,New York,10007,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,Housing,"Lesbian, Gay, Bisexual, and/or Transgender",Veterans & Military Families,Victim Services,,,,,,,,,,,
170,NYC Commission on Human Rights,BRONX,,2126399675,http://www.nyc.gov/html/cchr/home.html,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Disabilities,Domestic Violence,Education,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,Youth Services,,,,,,,,,,
869,NYC Commission on Human Rights,MANHATTAN,,2126399675,http://www.nyc.gov/html/cchr/home.html,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Disabilities,Domestic Violence,Education,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,Youth Services,,,,,,,,,,
1275,NYC Commission on Human Rights,QUEENS,,2126399675,http://www.nyc.gov/html/cchr/home.html,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Disabilities,Domestic Violence,Education,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,Youth Services,,,,,,,,,,
1474,NYC Commission on Human Rights,STATENIS,,2126399675,http://www.nyc.gov/html/cchr/home.html,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Disabilities,Domestic Violence,Education,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,Youth Services,,,,,,,,,,
1837,NYC Commission on Human Rights,BROOKLYN,,2126399675,http://www.nyc.gov/html/cchr/home.html,,,,,New York,,Aging,Anti-Discrimination & Human Rights,Business,Child Care & Parent Information,Disabilities,Domestic Violence,Education,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,Youth Services,,,,,,,,,,
1115,"Jackson Heights-Elmhurst Kehillah, Inc.",QUEENS,7184575212,7184574591,http://www.queens-kehillah@juno.com,,,,"33-47 91st Street, FLR GND",Jackson Heights,11581,Aging,Anti-Discrimination & Human Rights,Business,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Housing,Immigration,Personal Finance & Financial Education,Youth Services,,,,,,,,,
47,Kingsbridge Heights Neighborhood Improvement Association,BRONX,7186187549,7186187550,,40.870892,-73.899429,26702,2805 University Avenue,Bronx,10468,Aging,Anti-Discrimination & Human Rights,Child Care & Parent Information,Community Service & Volunteerism,Domestic Violence,Education,Homelessness,Housing,Immigration,Youth Services,,,,,,,,,,,,,
454,Gay Men's Health Crisis,MANHATTAN,2123671020,2123671000,http://www.gmhc.org,40.74391,-73.993104,91,119 West 24th Street,New York,10011,Aging,Anti-Discrimination & Human Rights,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,
1644,Caribbean Women Uniting For Social and Political Action (CWUSPA),BROOKLYN,7184343577,7184349733,,,,,"616 East 18 St., Suite 1C",Brooklyn,,Aging,Anti-Discrimination & Human Rights,Immigration,,,,,,,,,,,,,,,,,,,,
1667,Edith and Carl Marks Jewish Community House of Bensonhurst,BROOKLYN,7182328461,7183316800,http://www.jchb.org,40.606369,-73.989235,270,7802 Bay Parkway,Brooklyn,11214,Aging,Arts & Culture,Business,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Health,Immigration,Legal Services,Personal Finance & Financial Education,Victim Services,,,,,,,,,,,
1071,"Jacob A. Riis Neighborhood Settlement House, Inc.",QUEENS,7187841964,7187847447,http://www.riissettlement.org,40.755488,-73.945328,25,10-25 41st Avenue,Long Island CIty,11101,Aging,Arts & Culture,Business,Counseling & Support Groups,Immigration,Victim Services,,,,,,,,,,,,,,,,,
999,"Woodside On The Move, Inc.",QUEENS,,7184768449,,40.7463,-73.905092,259,39-42 59th Street,Woodside,11377,Aging,Arts & Culture,Business,Housing,Youth Services,,,,,,,,,,,,,,,,,,
601,YM & YWHA of Washington Heights and Inwood,MANHATTAN,,2125696200,http://www.ywashhts.org,40.859993,-73.929129,285,54 Nagle Avenue,New York,10040,Aging,Arts & Culture,Child Care & Parent Information,Community Service & Volunteerism,Education,Health,Youth Services,,,,,,,,,,,,,,,,
1710,Shorefront YM-YWHA,BROOKLYN,7186460376,7186461444,http://shorefronty.org,40.575607,-73.959463,36002,3300 Coney Island Avenue,Brooklyn,11235,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Immigration,Victim Services,,,,,,,,,,,,,
492,Lenox Hill Neighborhood House,MANHATTAN,2127445150,2127445022,http://www.lenoxhill.org,40.766925,-73.95795,126,331 E. 70th Street,NEW YORK,10021,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,Homelessness,Housing,Immigration,Legal Services,,,,,,,,,,,,
710,"YM & YWHA of Washington Heights and Inwood, Inc.",MANHATTAN,2125675915,2125696200,http://www.ywashhts.org,40.859993,-73.929129,285,54 Nagle Avenue,New York,10040,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,Housing,Immigration,,,,,,,,,,,,,,
123,"Greenwich House, Inc.",BRONX,6463655730,2129910003,http://greenwichouse.org,40.748848,-73.993377,95,"224 West 30th Street, Room 302",New York,10001,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,,,
822,"Greenwich House, Inc.",MANHATTAN,6463655730,2129910003,http://greenwichouse.org,40.748848,-73.993377,95,"224 West 30th Street, Room 302",New York,10001,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,,,
1230,"Greenwich House, Inc.",QUEENS,6463655730,2129910003,http://greenwichouse.org,40.748848,-73.993377,95,"224 West 30th Street, Room 302",New York,10001,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,,,
1432,"Greenwich House, Inc.",STATENIS,6463655730,2129910003,http://greenwichouse.org,40.748848,-73.993377,95,"224 West 30th Street, Room 302",New York,10001,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,,,
1790,"Greenwich House, Inc.",BROOKLYN,6463655730,2129910003,http://greenwichouse.org,40.748848,-73.993377,95,"224 West 30th Street, Room 302",New York,10001,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,,,
1383,Joan & Alan Bernikow Jewish Community Center of Staten Island,STATENIS,7184755201,7184755200,http://www.sijcc.org,40.594454,-74.125677,181,1466 Manor Road,STATEN ISLAND,10314,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Disabilities,Education,Health,,,,,,,,,,,,,,,,
1701,"African American Planning Commission, Inc.",BROOKLYN,7182187115,7182187254,http://www.aapci.org,,,,P.O. Box 330-704,Brooklyn,11233,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Domestic Violence,Homelessness,Housing,"Lesbian, Gay, Bisexual, and/or Transgender",,,,,,,,,,,,,,,
104,The Young Women's Christian Association (YWCA) of Queens,BRONX,,7183534553,http://www.ywcaqueens.org,40.757857,-73.819077,861,42-07 Parsons Blvd,Flushing,11355,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Immigration,,,,,,,,,,,,,,,,
804,The Young Women's Christian Association (YWCA) of Queens,MANHATTAN,,7183534553,http://www.ywcaqueens.org,40.757857,-73.819077,861,42-07 Parsons Blvd,Flushing,11355,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Immigration,,,,,,,,,,,,,,,,
1213,The Young Women's Christian Association (YWCA) of Queens,QUEENS,,7183534553,http://www.ywcaqueens.org,40.757857,-73.819077,861,42-07 Parsons Blvd,Flushing,11355,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Immigration,,,,,,,,,,,,,,,,
1771,The Young Women's Christian Association (YWCA) of Queens,BROOKLYN,,7183534553,http://www.ywcaqueens.org,40.757857,-73.819077,861,42-07 Parsons Blvd,Flushing,11355,Aging,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Immigration,,,,,,,,,,,,,,,,
622,"University Settlement Society of New York, Inc",MANHATTAN,,2126749120,http://www.universitysettlement.org/,40.720653,-73.990674,18,184 Eldridge Street,New York,10002,Aging,Arts & Culture,Child Care & Parent Information,Education,Employment & Job Training,Immigration,Youth Services,,,,,,,,,,,,,,,,
298,VISIONS at Selis Manor,MANHATTAN,6464864343,6464864444,http://www.visionsvcb.org,40.743386,-73.993916,91,135 West 23 Street,New York,10011,Aging,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Education,Employment & Job Training,Health,Housing,Personal Finance & Financial Education,Youth Services,,,,,,,,,,,,
178,NYC Department for the Aging,BRONX,,2126399675,http://nyc.gov/html/dfta/html/home/home.shtml,,,,,New York,,Aging,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Education,Health,Homelessness,Housing,Immigration,Legal Services,Personal Finance & Financial Education,Victim Services,,,,,,,,,,
877,NYC Department for the Aging,MANHATTAN,,2126399675,http://nyc.gov/html/dfta/html/home/home.shtml,,,,,New York,,Aging,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Education,Health,Homelessness,Housing,Immigration,Legal Services,Personal Finance & Financial Education,Victim Services,,,,,,,,,,
1283,NYC Department for the Aging,QUEENS,,2126399675,http://nyc.gov/html/dfta/html/home/home.shtml,,,,,New York,,Aging,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Education,Health,Homelessness,Housing,Immigration,Legal Services,Personal Finance & Financial Education,Victim Services,,,,,,,,,,
1480,NYC Department for the Aging,STATENIS,,2126399675,http://nyc.gov/html/dfta/html/home/home.shtml,,,,,New York,,Aging,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Education,Health,Homelessness,Housing,Immigration,Legal Services,Personal Finance & Financial Education,Victim Services,,,,,,,,,,
1845,NYC Department for the Aging,BROOKLYN,,2126399675,http://nyc.gov/html/dfta/html/home/home.shtml,,,,,New York,,Aging,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Education,Health,Homelessness,Housing,Immigration,Legal Services,Personal Finance & Financial Education,Victim Services,,,,,,,,,,
1717,Brooklyn Public Library,BROOKLYN,,7182302100,http://www.brooklynpubliclibrary.org/,,,,,Brooklyn,,Aging,Arts & Culture,Community Service & Volunteerism,Disabilities,Education,Employment & Job Training,Immigration,Youth Services,,,,,,,,,,,,,,,
52,Young Men & Young Women's Hebrew Association of the Bronx,BRONX,,7185488200,,40.905009,-73.907133,323,5625 Arlington Avenue,Riverdale,10471,Aging,Arts & Culture,Community Service & Volunteerism,Education,Health,Immigration,Youth Services,,,,,,,,,,,,,,,,
216,YMCA of Greater New York,BRONX,,2126309729,,,,,,New York,10023,Aging,Arts & Culture,Community Service & Volunteerism,Education,Health,Immigration,Youth Services,,,,,,,,,,,,,,,,
915,YMCA of Greater New York,MANHATTAN,,2126309729,,,,,,New York,10023,Aging,Arts & Culture,Community Service & Volunteerism,Education,Health,Immigration,Youth Services,,,,,,,,,,,,,,,,
1320,YMCA of Greater New York,QUEENS,,2126309729,,,,,,New York,10023,Aging,Arts & Culture,Community Service & Volunteerism,Education,Health,Immigration,Youth Services,,,,,,,,,,,,,,,,
1516,YMCA of Greater New York,STATENIS,,2126309729,,,,,,New York,10023,Aging,Arts & Culture,Community Service & Volunteerism,Education,Health,Immigration,Youth Services,,,,,,,,,,,,,,,,
1883,YMCA of Greater New York,BROOKLYN,,2126309729,,,,,,New York,10023,Aging,Arts & Culture,Community Service & Volunteerism,Education,Health,Immigration,Youth Services,,,,,,,,,,,,,,,,
114,St Stephens Outreach Inc.,BRONX,7183845975,7183848854,,40.695579,-73.947375,25901,874 Myrtle Avenue,Brooklyn,11206,Aging,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,,,,,,,,,,,,,,,,,
814,St Stephens Outreach Inc.,MANHATTAN,7183845975,7183848854,,40.695579,-73.947375,25901,874 Myrtle Avenue,Brooklyn,11206,Aging,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,,,,,,,,,,,,,,,,,
1222,St Stephens Outreach Inc.,QUEENS,7183845975,7183848854,,40.695579,-73.947375,25901,874 Myrtle Avenue,Brooklyn,11206,Aging,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,,,,,,,,,,,,,,,,,
1781,St Stephens Outreach Inc.,BROOKLYN,7183845975,7183848854,,40.695579,-73.947375,25901,874 Myrtle Avenue,Brooklyn,11206,Aging,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,,,,,,,,,,,,,,,,,
696,Union Settlement Association,MANHATTAN,,2128286000,http://www.unionsettlement.org/,40.789687,-73.944267,170,237 E. 104th Street,New York,10029,Aging,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Immigration,Youth Services,,,,,,,,,,,,,,,,
1094,Elmcor Youth & Adult Activities,QUEENS,7184573932,7186510096,,40.757429,-73.860938,381,33-16 108th Street,Corona,11368,Aging,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,,,,,,,,,,,,,,,,,,
