Protest,Region,Country,Location,Start_day,Start_month,Start_year,End_day,End_month,End_year,Protester_violence,Protester_identity,Protester_demand,State_response_level,State_response,,Participants_estimate,Participants_low,Participants_high,Participants_average
792,Europe,Greece,Athens,1,4,2014,1,4,2014,1,protesters,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
793,Europe,Greece,Athens,28,6,2015,28,6,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,50-99,50,99,75
795,Europe,Greece,Athens,3,7,2015,3,7,2015,0,pro Europe protesters,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
796,Europe,Greece,Athens,10,7,2015,10,7,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,50-99,50,99,75
799,Europe,Greece,Athens,12,2,2016,12,2,2016,1,farmers,labor wage dispute,3,crowd_dispersal,,2000-4999,2000,4999,3500
800,Europe,Greece,athens,14,2,2016,14,2,2016,0,farmers,"price increases, tax policy",2,ignore,,2000-4999,2000,4999,3500
802,Europe,Greece,Athens,3,9,2016,3,9,2016,0,pensioners,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
807,Europe,Greece,Athens,2,4,2009,2,4,2009,0,Greeks,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
808,Europe,Greece,Athens,10,2,2010,10,2,2010,0,"civil servants, G.S.E.E. union","political behavior, process",2,ignore,,100-999,100,999,550
809,Europe,Greece,Athens,16,2,2010,16,2,2010,0,"civil servants, trade unions, labor unions, tax collectors","political behavior, process",2,ignore,,100-999,100,999,550
810,Europe,Greece,Athens,8,4,2010,8,4,2010,0,protesters,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
812,Europe,Greece,Athens,27,4,2010,27,4,2010,0,"protesters, students","political behavior, process",2,ignore,,100-999,100,999,550
813,Europe,Greece,Athens,4,5,2010,4,5,2010,0,"demonstrators, students, teachers, Communist supporters","political behavior, process",2,ignore,,100-999,100,999,550
814,Europe,Greece,Athens,17,9,2011,17,9,2011,0,students,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
816,Europe,Greece,Athens,20,3,2012,20,3,2012,0,Communist Party,"political behavior, process",2,ignore,,100-999,100,999,550
817,Europe,Greece,Athens,1,5,2012,1,5,2012,0,Greeks,labor wage dispute,2,ignore,,>10000,10000,10000,10000
818,Europe,Greece,Athens,14,11,2012,14,11,2012,0,workers,labor wage dispute,2,ignore,,5000-10000,5000,10000,7500
819,Europe,Greece,Athens,15,1,2013,15,1,2013,0,"antigovernment supporters, anarchist supporters, anti establishment supporters","political behavior, process",2,ignore,,5000-10000,5000,10000,7500
820,Europe,Greece,Athens,20,2,2013,20,2,2013,0,workers,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
821,Europe,Greece,Athens,11,9,2013,11,9,2013,0,Greeks,"political behavior, process",2,ignore,,50-99,50,99,75
822,Europe,Greece,Athens,18,9,2013,18,9,2013,0,"demonstrators, teachers, civil servants, pensioners",labor wage dispute,2,ignore,,50-99,50,99,75
823,Europe,Greece,Athens,30,3,2014,30,3,2014,0,"milk farmers, bankers, booksellers, civil servants, pharmacists, protesters","political behavior, process",2,ignore,,2000-4999,2000,4999,3500
824,Europe,Greece,Athens,27,11,2014,27,11,2014,0,"protesters, workers",labor wage dispute,2,ignore,,2000-4999,2000,4999,3500
826,Europe,Greece,Athens,8,12,2014,8,12,2014,0,Greeks,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
828,Europe,Greece,Athens,22,5,2015,22,5,2015,0,doctors and healthcare staff,"price increases, tax policy",2,ignore,,2000-4999,2000,4999,3500
829,Europe,Greece,Athens,29,6,2015,29,6,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
830,Europe,Greece,Athens,30,6,2015,30,6,2015,0,pro Europe protesters,"political behavior, process",2,ignore,,1000-1999,1000,1999,1500
831,Europe,Greece,Athens,15,7,2015,15,7,2015,1,anti austerity protesters,"political behavior, process",3,crowd_dispersal,,1000-1999,1000,1999,1500
832,Europe,Greece,Athens,22,7,2015,22,7,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,1000-1999,1000,1999,1500
836,Europe,Greece,Athens,15,6,2016,15,6,2016,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
837,Europe,Greece,Athens,10,9,2016,10,9,2016,0,protesters,"price increases, tax policy",2,ignore,,100-999,100,999,550
838,Europe,Greece,Athens,24,1,2019,24,1,2019,1,protesters,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
839,Europe,Greece,Athens,25,9,2013,25,9,2013,1,"anti facists, students","political behavior, process",3,crowd_dispersal,,100-999,100,999,550
842,Europe,Greece,Athens,16,10,2015,16,10,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,>10000,10000,10000,10000
844,Europe,Greece,Athens,4,10,2016,4,10,2016,0,pensioners,"political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
845,Europe,Greece,Athens,15,6,2017,29,6,2017,0,garbage collectors,labor wage dispute,2,ignore,,>10000,10000,10000,10000
847,Europe,Greece,Athens,1,5,2009,1,5,2009,1,protesters,labor wage dispute,3,crowd_dispersal,,>10000,10000,10000,10000
848,Europe,Greece,Athens,1,3,2010,1,3,2010,0,demonstrators,"political behavior, process",3,crowd_dispersal,,5000-10000,5000,10000,7500
849,Europe,Greece,Athens,4,3,2010,4,3,2010,0,Pame  Labor Union affiliated with Communist Party  ,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
850,Europe,Greece,Athens,5,3,2010,5,3,2010,1,protesters,"political behavior, process",3,crowd_dispersal,,5000-10000,5000,10000,7500
851,Europe,Greece,Athens,6,5,2010,6,5,2010,0,protesters,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
852,Europe,Greece,Athens,8,5,2010,8,5,2010,0,demonstrators,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
853,Europe,Greece,Athens,14,10,2010,14,10,2010,1,Culture Ministry workers,labor wage dispute,3,crowd_dispersal,,2000-4999,2000,4999,3500
854,Europe,Greece,Athens,4,11,2010,4,11,2010,1,"firemen, dock workers",labor wage dispute,3,crowd_dispersal,,2000-4999,2000,4999,3500
856,Europe,Greece,Athens,6,5,2011,6,5,2011,1,demonstrators,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
858,Europe,Greece,Athens,3,11,2011,3,11,2011,0,"lawyers, doctors, students, far Left supporters, service sector union",removal of politician,3,crowd_dispersal,,2000-4999,2000,4999,3500
859,Europe,Greece,Athens,4,4,2012,5,4,2012,1,"demonstrators, youth,  Indignants ","political behavior, process",2,ignore,,2000-4999,2000,4999,3500
860,Europe,Greece,Athens,8,10,2012,8,10,2012,0,pensioners,labor wage dispute,2,ignore,,2000-4999,2000,4999,3500
862,Europe,Greece,Athens,28,4,2013,28,4,2013,0,civil servants,labor wage dispute,2,ignore,,2000-4999,2000,4999,3500
863,Europe,Greece,Athens,14,5,2013,14,5,2013,0,civil servants,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
864,Europe,Greece,Athens,30,5,2013,30,5,2013,0,neo Nazis,"political behavior, process",2,ignore,,1000-1999,1000,1999,1500
865,Europe,Greece,Athens,22,7,2013,11,5,2015,0,state paid cleaning ladies,labor wage dispute,1,accomodate,,100-999,100,999,550
866,Europe,Greece,Athens,16,2,2015,16,2,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,100-999,100,999,550
867,Europe,Greece,Athens,24,2,2015,24,2,2015,0,Syrian refugees,"political behavior, process",2,ignore,,100-999,100,999,550
868,Europe,Greece,Athens,26,2,2015,26,2,2015,1,far left groups,"political behavior, process",2,ignore,,100-999,100,999,550
869,Europe,Greece,Athens,20,3,2015,20,3,2015,0,youth wing of the communist party,"price increases, tax policy",2,ignore,,100-999,100,999,550
870,Europe,Greece,Athens,11,6,2015,11,6,2015,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
871,Europe,Greece,Athens,1,7,2015,1,7,2015,0,pensioners,"political behavior, process",2,ignore,,100-999,100,999,550
872,Europe,Greece,Athens,3,7,2015,3,7,2015,0,anti austerity protesters,"political behavior, process",3,crowd_dispersal,,5000-10000,5000,10000,7500
873,Europe,Greece,Athens,12,7,2015,12,7,2015,0,anti austerity protesters,"political behavior, process",3,crowd_dispersal,,5000-10000,5000,10000,7500
874,Europe,Greece,Athens,13,7,2015,13,7,2015,0,anti austerity protesters,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
875,Europe,Greece,Athens,22,7,2015,22,7,2015,0,Adedy public sector union,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
878,Europe,Greece,Athens,9,1,2016,9,1,2016,0,demonstrators,labor wage dispute,2,ignore,,50-99,50,99,75
882,Europe,Greece,Athens,22,5,2016,22,5,2016,0,protesters,"political behavior, process",2,ignore,,50-99,50,99,75
884,Europe,Greece,Athens,27,9,2016,27,9,2016,0,workers,"political behavior, process",2,ignore,,50-99,50,99,75
887,Europe,Greece,Athens,6,12,2009,6,12,2009,1,demonstrators,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
889,Europe,Greece,Athens,11,3,2010,11,3,2010,1,Greeks,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
892,Europe,Greece,Athens,20,5,2010,20,5,2010,1,demonstrators,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
893,Europe,Greece,Athens,8,7,2010,8,7,2010,0,"public sector workers, youth","political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
894,Europe,Greece,Athens,15,12,2010,15,12,2010,1,"Greeks, youth, unions representing civil servants, private sector workers and the Communist Party","political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
896,Europe,Greece,Athens,11,5,2011,11,5,2011,1,"labor unions, students, anarchists","political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
897,Europe,Greece,Athens,26,5,2011,30,5,2011,0,"protesters, youth, Greeks,  indignants ","political behavior, process",2,ignore,,2000-4999,2000,4999,3500
900,Europe,Greece,Athens,5,10,2011,5,10,2011,1,"labor unions  Adedy and GSEE , youth, professionals, public sector workers, anarchists","political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
902,Europe,Greece,Athens,20,10,2011,20,10,2011,1,"anarchists, PAME  Communist Party union , Greeks","political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
903,Europe,Greece,Athens,17,11,2011,17,11,2011,0,"Greeks, anarchists","political behavior, process",3,crowd_dispersal,,1000-1999,1000,1999,1500
907,Europe,Greece,Athens,26,9,2012,26,9,2012,1,"civil servants, teachers, medical personnel, bank employees, lawyers, anarchists","political behavior, process",3,crowd_dispersal,,1000-1999,1000,1999,1500
910,Europe,Greece,Athens,12,11,2012,12,11,2012,0,demonstrators,"political behavior, process",2,ignore,,1000-1999,1000,1999,1500
911,Europe,Greece,Athens,11,6,2013,8,11,2013,0,"protesters, journalists, tv personalities, two main unions, Adedy  civil servants  union , state TV employees","political behavior, process",3,crowd_dispersal,,100-999,100,999,550
912,Europe,Greece,Athens,16,7,2013,16,7,2013,0,"civil servants, GSEE  private sector labor union , ADEDY  civil servants  union ","political behavior, process",3,crowd_dispersal,,100-999,100,999,550
913,Europe,Greece,Athens,16,9,2013,16,9,2013,1,"protesters, state teachers","political behavior, process",3,crowd_dispersal,,100-999,100,999,550
914,Europe,Greece,Athens,9,4,2014,9,4,2014,0,Greek private workers  union G.S.E.E.,"political behavior, process",2,ignore,,>10000,10000,10000,10000
915,Europe,Greece,Athens,24,6,2015,24,6,2015,1,pro Europe protesters,"political behavior, process",3,crowd_dispersal,,5000-10000,5000,10000,7500
917,Europe,Greece,Athens,8,5,2016,8,5,2016,1,anarchists,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
921,Europe,Greece,Athens,15,1,2018,15,1,2018,1,anti austerity protesters,labor wage dispute,3,crowd_dispersal,,50-99,50,99,75
876,Europe,Greece,Athens,12,10,2015,12,10,2015,0,teachers and pupils,labor wage dispute,2,ignore,,2000-4999,2000,4999,3500
909,Europe,Greece,Athens,6,11,2012,7,11,2012,1,Greeks,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
811,Europe,Greece,Athens,22,4,2010,22,4,2010,1,"civil servants, Communist trade unions, government workers, actors and archaeologists","political behavior, process",3,crowd_dispersal,,1000-1999,1000,1999,1500
857,Europe,Greece,Athens,29,9,2011,29,9,2011,1,"civil servants, students","political behavior, process",3,crowd_dispersal,,100-999,100,999,550
891,Europe,Greece,Athens,5,5,2010,5,5,2010,1,"protesters, anarchists, left wing supporters, PAME supporters, anti establishment supporters, youth, civil servants, workers","political behavior, process",3,crowd_dispersal,,100-999,100,999,550
899,Europe,Greece,Athens,10,9,2011,10,9,2011,1,rioters,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
908,Europe,Greece,Athens,18,10,2012,18,10,2012,1,Greeks,"political behavior, process",3,crowd_dispersal,,100-999,100,999,550
895,Europe,Greece,Athens,23,2,2011,23,2,2011,1,"youth, labor unions, leftwing supporters, anarchists","political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
901,Europe,Greece,Athens,19,10,2011,19,10,2011,1,Greeks,labor wage dispute,3,crowd_dispersal,,>10000,10000,10000,10000
898,Europe,Greece,Athens,15,6,2011,15,6,2011,0,"labor unions, Greeks","political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
905,Europe,Greece,Athens,12,2,2012,12,2,2012,1,"rioters, youth, unions","political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
825,Europe,Greece,Athens,6,12,2014,6,12,2014,1,protesters,police brutality,3,crowd_dispersal,,5000-10000,5000,10000,7500
919,Europe,Greece,Athens,16,5,2017,17,5,2017,0,workers,labor wage dispute,2,ignore,,50-99,50,99,75
920,Europe,Greece,Athens,18,5,2017,19,5,2017,1,police officers,labor wage dispute,2,ignore,,50-99,50,99,75
923,Europe,Greece,Athens,20,1,2019,20,1,2019,1,protesters,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
922,Europe,Greece,Athens,4,2,2018,4,2,2018,0,nationalists,"political behavior, process",2,ignore,,50-99,50,99,75
855,Europe,Greece,Athens,1,5,2011,1,5,2011,1,town residents,land farm issue,2,ignore,,50-99,50,99,75
314,Europe,France,Aveyron,17,2,2016,17,2,2016,0,farmers,"price increases, tax policy",1,accomodate,,50-99,50,99,75
231,Europe,Cyprus,Avgorou,21,9,2011,21,9,2011,0,residents,"price increases, tax policy",2,ignore,,50-99,50,99,75
230,Europe,Cyprus,Ayios,26,8,2011,26,8,2011,0,"Turkish Cypriots, Turkish settlers",police brutality,3,crowd_dispersal,,50-99,50,99,75
1808,Europe,Ukraine,Bakhchysaray,9,3,2014,9,3,2014,0,Tatars,"political behavior, process",2,ignore,,50-99,50,99,75
64,Europe,Azerbaijan,Baku,11,9,2016,11,9,2016,0,National Council of Democratic Forces,"political behavior, process",2,ignore,,50-99,50,99,75
67,Europe,Azerbaijan,Baku,17,11,2018,17,11,2018,0,opposition; Popular Front,"political behavior, process",4,arrests,,50-99,50,99,75
1940,Europe,United Kingdom,Balcombe,25,7,2013,21,8,2013,1,"anti fracking activists, environmentalists, women, children",land farm issue,3,crowd_dispersal,,50-99,50,99,75
1979,Europe,United Kingdom,Balcombe,25,5,2013,25,5,2013,0,People,"political behavior, process",2,ignore,,50-99,50,99,75
1015,Europe,Ireland,Ballinasloe,15,9,2013,15,9,2013,0,protesters,"political behavior, process",2,ignore,,50-99,50,99,75
107,Europe,Bosnia,Banja_Luka,7,7,2018,7,7,2018,0,activists; Justice for David,police brutality,2,ignore,,50-99,50,99,75
109,Europe,Bosnia,Banja_Luka,30,12,2018,30,12,2018,0,activists; Justice for David,police brutality,3,crowd_dispersal,,50-99,50,99,75
116,Europe,Bosnia,Banja_Luka,10,5,2018,10,5,2018,0,activists; Justice for David,police brutality,2,ignore,,50-99,50,99,75
117,Europe,Bosnia,Banja_Luka,5,10,2018,6,10,2018,0,activists; Justice for David,police brutality,2,ignore,,50-99,50,99,75
118,Europe,Bosnia,Banja_Luka,26,12,2018,26,12,2018,0,activists; Justice for David,police brutality,2,ignore,,50-99,50,99,75
123,Europe,Bosnia,Banja_Luka,27,8,2018,27,8,2018,0,journalists; activists; Justice for David,police brutality,2,ignore,,50-99,50,99,75
125,Europe,Bosnia,Banja_Luka,25,12,2018,8,1,2019,0,activists; Justice for David,police brutality,1,accomodate,,50-99,50,99,75
1766,Europe,Ukraine,Baranikovka,11,5,2014,11,5,2014,0,demonstrators,"political behavior, process",6,shootings,,50-99,50,99,75
1621,Europe,Spain,Barcelona,8,6,2010,8,6,2010,0,the Uni ?n General de Trabajadores and the Confederaci ?n Sindical de Comisiones Obreras,"political behavior, process",2,ignore,,50-99,50,99,75
1628,Europe,Spain,Barcelona,21,12,2018,21,12,2018,1,secessionists; catalans,"political behavior, process",3,crowd_dispersal,,50-99,50,99,75
1635,Europe,Spain,Barcelona,13,12,2012,13,12,2012,0,Catalonian separatists,social restrictions,2,ignore,,2000-4999,2000,4999,3500
1646,Europe,Spain,Barcelona,1,10,2017,1,10,2017,1,Catalans,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
1647,Europe,Spain,Barcelona,12,10,2017,12,10,2017,0,protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1650,Europe,Spain,Barcelona,30,9,2017,30,9,2017,0,parents,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1657,Europe,Spain,Barcelona,26,5,2014,29,5,2014,1,protesters,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
1661,Europe,Spain,Barcelona,25,2,2018,25,2,2018,0,Catalans,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1664,Europe,Spain,Barcelona,29,9,2018,29,9,2018,1,secessionists; catalans,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
1676,Europe,Spain,Barcelona,11,9,2012,11,9,2012,0,Catalonian separatists,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1681,Europe,Spain,Barcelona,11,9,2014,11,9,2014,0,Catalan separatists,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1683,Europe,Spain,Barcelona,11,9,2015,11,9,2015,0,pro independence Catalans,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1687,Europe,Spain,Barcelona,6,2,2017,6,2,2017,0,pro independence demonstrators,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
