Region,Country,Location,Start Day,Start Month,Start Year,End Day,End Month,End Year,Protester Violence,Participants,Participants-estimated,Protester Identity,Protester Demand,State Response 1,State Response 2,Participants,,
Europe,Albania,Tirana; national,7,12,2018,7,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
Europe,Albania,Tirana; national,8,12,2018,8,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
Europe,Albania,Tirana; national,9,12,2018,9,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
Europe,Albania,Tirana; national,10,12,2018,10,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
Europe,Albania,Tirana; national,11,12,2018,11,12,2018,0,2000-4999,,students,"price increases, tax policy",ignore,accomodation,2000-4999,,
Europe,Albania,Tirana,12,2,2019,12,2,2019,0,50-99,,opposition,removal of politician,ignore,,50-99,,
Europe,Albania,Tirana,16,2,2019,16,2,2019,1,2000-4999,,opposition,removal of politician,crowd dispersal,,2000-4999,,
Europe,Albania,Tirana,21,2,2019,21,2,2019,0,5000-10000,,opposition,removal of politician,crowd dispersal,,5000-10000,,
Europe,Albania,Tirana,26,2,2019,26,2,2019,1,100-999,,opposition,removal of politician,crowd dispersal,,100-999,,
Europe,Albania,Tirana,5,3,2019,5,3,2019,0,2000-4999,,opposition,removal of politician,crowd dispersal,,2000-4999,,
Europe,Albania,Tirana,16,3,2019,16,3,2019,1,2000-4999,,opposition,removal of politician,crowd dispersal,,2000-4999,,
Europe,Albania,Tirana,21,3,2019,21,3,2019,0,5000-10000,,opposition,removal of politician,crowd dispersal,,5000-10000,,
Europe,Armenia,Yerevan,30,1,2009,30,1,2009,0,,,opposition Armenian National Congress,"political behavior, process",ignore,,,,
Europe,Armenia,Yerevan,1,3,2009,1,3,2009,0,,,Oposition Parties,police brutality,ignore,,,,
Europe,Armenia,Yerevan,11,1,2010,11,1,2010,0,,,Armenian Revolutionary Federation,"political behavior, process",ignore,,,,
Europe,Armenia,Yerevan,1,3,2010,1,3,2010,0,,,Oposition Parties,police brutality,ignore,,,,
Europe,Armenia,Yerevan,16,3,2010,16,3,2010,0,,,opposition Armenian National,removal of politician,ignore,,,,
Europe,Armenia,Yerevan,19,10,2010,19,10,2010,0,,,opposition Armenian National,police brutality,ignore,,,,
Europe,Armenia,Yerevan and Vandzor,11,11,2010,11,11,2010,0,,,employees of Armenia s two largest chemical enterprises,labor wage dispute,ignore,,,,
Europe,Armenia,Yerevan,27,12,2010,27,12,2010,0,,,Civil Servants,labor wage dispute,ignore,,,,
Europe,Armenia,Yerevan,17,3,2011,17,3,2011,0,,,Armenian opposition National Congress,"political behavior, process",ignore,,,,
Europe,Armenia,Yerevan,20,2,2013,20,2,2013,0,,,Hovanessian s supporters,"political behavior, process",ignore,,,,
Europe,Armenia,National,23,2,2013,23,2,2013,0,,,Hovannisian s supporters,"political behavior, process",ignore,,,,
Europe,Armenia,Yerevan,9,4,2013,9,4,2013,1,,,Protesters,"political behavior, process",crowd dispersal,,,,
Europe,Armenia,Yerevan,19,6,2015,19,6,2015,0,50-99,,protester,"price increases, tax policy",ignore,,50-99,,
Europe,Armenia,Yerevan,23,6,2015,23,6,2015,0,50-99,,protesters,"political behavior, process",crowd dispersal,,50-99,,
Europe,Armenia,Yerevan,5,10,2015,5,10,2015,1,100-999,,Noi Movement,"political behavior, process",arrests,crowd dispersal,100-999,,
Europe,Armenia,Yerevan,30,10,2015,30,10,2015,0,50-99,,No! Movement and New Armenia Movement,"political behavior, process",ignore,,50-99,,
Europe,Armenia,Yerevan,1,12,2015,1,12,2015,1,5000-10000,,protesters,removal of politician,crowd dispersal,,5000-10000,,
Europe,Armenia,Yerevan,7,12,2015,7,12,2015,0,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Armenia,Yerevan,18,7,2016,18,7,2016,0,1000-1999,,protesters,"political behavior, process",ignore,,1000-1999,,
Europe,Armenia,Yerevan,20,7,2016,20,7,2016,1,1000-1999,,protesters,"political behavior, process",crowd dispersal,arrests,1000-1999,,
Europe,Armenia,Yerevan,28,7,2016,28,7,2016,1,2000-4999,,protesters,"political behavior, process",arrests,,2000-4999,,
Europe,Armenia,Yerevan,29,7,2016,29,7,2016,1,2000-4999,,protesters,"political behavior, process",crowd dispersal,,2000-4999,,
Europe,Armenia,Yerevan,13,4,2018,13,4,2018,0,5000-10000,,opposition,"political behavior, process",ignore,,5000-10000,,
Europe,Armenia,Yerevan,14,4,2018,14,4,2018,0,50-99,,opposition,"political behavior, process",ignore,,50-99,,
Europe,Armenia,Yerevan,16,4,2018,16,4,2018,0,>10000,,protesters,"political behavior, process",crowd dispersal,,>10000,,
Europe,Armenia,Yerevan,17,4,2018,17,4,2018,0,>10000,,protesters,"political behavior, process",arrests,,>10000,,
Europe,Armenia,Yerevan,18,4,2018,18,4,2018,0,>10000,,protesters,"political behavior, process",arrests,,>10000,,
Europe,Armenia,Yerevan; Gyumri,19,4,2018,19,4,2018,0,>10000,,protesters,"political behavior, process",arrests,,>10000,,
Europe,Armenia,Yerevan; Gyumri,20,4,2018,20,4,2018,0,>10000,,protesters,"political behavior, process",arrests,,>10000,,
Europe,Armenia,Yerevan; Gyumri; Ararat; Artashat,21,4,2018,21,4,2018,0,>10000,,protesters,"political behavior, process",arrests,,>10000,,
Europe,Armenia,Yerevan,22,4,2018,22,4,2018,0,>10000,,protesters; opposition,"political behavior, process",crowd dispersal,arrests,>10000,,
Europe,Armenia,Yerevan,23,4,2018,23,4,2018,0,5000-10000,,protesters; opposition,"political behavior, process",accomodation,,5000-10000,,
Europe,Armenia,Yerevan,25,4,2018,25,4,2018,0,>10000,,protesters; opposition,"political behavior, process",crowd dispersal,,>10000,,
Europe,Armenia,Yerevan,26,4,2018,26,4,2018,0,>10000,,protesters; opposition,"political behavior, process",crowd dispersal,,>10000,,
Europe,Armenia,Gyumri,27,4,2018,27,4,2018,0,>10000,,protesters; opposition,"political behavior, process",ignore,,>10000,,
Europe,Armenia,Yerevan,29,4,2018,29,4,2018,0,5000-10000,,protesters; opposition,"political behavior, process",ignore,,5000-10000,,
Europe,Armenia,Yerevan,1,5,2018,1,5,2018,0,>10000,,protesters; opposition,"political behavior, process",ignore,,>10000,,
Europe,Armenia,Yerevan; national,2,5,2018,2,5,2018,0,>10000,,protesters; opposition,"political behavior, process",accomodation,,>10000,,
Europe,Armenia,Yerevan,17,6,2018,17,6,2018,0,100-999,,protesters,police brutality,crowd dispersal,,100-999,,
Europe,Armenia,Yerevan,2,10,2018,2,10,2018,0,5000-10000,,protesters,"political behavior, process",ignore,,5000-10000,,
Europe,Armenia,Yerevan,1,3,2019,1,3,2019,0,>10000,,activists,police brutality,ignore,,>10000,,
Europe,Austria,Linz,1,5,2009,1,5,2009,1,50-99,,protesters,"political behavior, process",arrests,crowd dispersal,50-99,,
Europe,Austria,Vienna,18,12,2013,18,12,2013,0,>10000,,protesters,labor wage dispute,ignore,,>10000,,
Europe,Azerbaijan,Baku,11,12,2009,11,12,2009,1,,,Islamic Party of Azerbaijan,"political behavior, process",arrests,,,,
Europe,Azerbaijan,Baku,30,4,2010,30,4,2010,0,,,Students  ,"political behavior, process",arrests,,,,
Europe,Azerbaijan,Baku,11,5,2010,11,5,2010,0,,,youth branches of opposition parties and of youth movements,"political behavior, process",crowd dispersal,,,,
Europe,Azerbaijan,Nardaran,21,6,2010,21,6,2010,0,,,Residents,land farm issue,ignore,,,,
Europe,Azerbaijan,Baku,30,8,2010,30,8,2010,0,,,Residents of Binaqadi,land farm issue,ignore,,,,
Europe,Azerbaijan,Masalli,15,12,2010,15,12,2010,0,,,Young people,"political behavior, process",ignore,,,,
Europe,Azerbaijan,Nardaran,18,12,2010,18,12,2010,0,,,Villagers,"political behavior, process",ignore,,,,
Europe,Azerbaijan,Baku,11,3,2011,12,3,2011,1,,,Musavat,"political behavior, process",arrests,,,,
Europe,Azerbaijan,Baku,2,4,2011,2,4,2011,0,,,Musavat,"political behavior, process",arrests,beatings,,,
Europe,Azerbaijan,Baku,17,4,2011,17,4,2011,1,,,Opposition parties,"political behavior, process",arrests,,,,
Europe,Azerbaijan,Quba,1,3,2012,1,3,2012,1,,,protesters,removal of politician,crowd dispersal,,,,
Europe,Azerbaijan,Baku,25,5,2012,25,5,2012,0,,,antigovernment demonstrators,police brutality,arrests,,,,
Europe,Azerbaijan,Ismayilli,23,1,2013,25,1,2013,1,,,Protesters,"political behavior, process",crowd dispersal,arrests,,,
Europe,Azerbaijan,Baku,10,3,2013,10,3,2013,0,,,Protesters,"political behavior, process",crowd dispersal,arrests,,,
Europe,Azerbaijan,Baku,12,10,2013,12,10,2013,0,,,Protesters,"political behavior, process",arrests,beatings,,,
Europe,Azerbaijan,Baku,27,10,2013,27,10,2013,0,,,opposition supporters,"political behavior, process",ignore,,,,
Europe,Azerbaijan,national,15,1,2016,5,4,2016,0,100-999,,protesters,"price increases, tax policy",ignore,,100-999,,
Europe,Azerbaijan,Baku,11,9,2016,11,9,2016,0,2000-4999,,National Council of Democratic Forces,"political behavior, process",ignore,,2000-4999,,
Europe,Azerbaijan,Ganja,10,7,2018,10,7,2018,1,100-999,,protesters,police brutality,crowd dispersal,,100-999,,
Europe,Azerbaijan,Baku,17,11,2018,17,11,2018,0,100-999,,opposition; Popular Front,"political behavior, process",arrests,,100-999,,
Europe,Belarus,Minsk,25,3,2009,25,3,2009,0,2000-4999,,opposition supporters,"political behavior, process",arrests,,2000-4999,,
Europe,Belarus,Minsk,19,12,2010,19,12,2010,1,>10000,,opposition supporters,"political behavior, process",beatings,crowd dispersal,>10000,,
Europe,Belarus,Minsk,25,3,2011,25,3,2011,0,100-999,,opposition activists,"political behavior, process",beatings,arrests,100-999,,
Europe,Belarus,Minsk,15,6,2011,15,6,2011,0,100-999,,unspecified,"political behavior, process",ignore,,100-999,,
Europe,Belarus,Minsk,22,6,2011,22,6,2011,0,2000-4999,,unspecified,"political behavior, process",arrests,,2000-4999,,
Europe,Belarus,Minsk,3,7,2011,3,7,2011,0,50-99,,unspecified,"political behavior, process",crowd dispersal,arrests,50-99,,
Europe,Belarus,Minsk,6,7,2011,6,7,2011,0,100-999,,unspecified,"political behavior, process",beatings,arrests,100-999,,
Europe,Belarus,Minsk,17,2,2017,17,2,2017,0,50-99,,protesters,"price increases, tax policy",ignore,,50-99,,
Europe,Belarus,Minsk,15,3,2017,15,3,2017,0,2000-4999,,protesters,"price increases, tax policy",arrests,,2000-4999,,
Europe,Belarus,Pinsk,15,3,2017,15,3,2017,0,50-99,,protesters,labor wage dispute,ignore,,50-99,,
Europe,Belarus,Dobrush,18,3,2017,18,3,2017,0,50-99,,protesters,"political behavior, process",ignore,,50-99,,
Europe,Belarus,Minsk,25,3,2017,25,3,2017,0,100-999,,protesters,"political behavior, process",arrests,,100-999,,
Europe,Belarus,Minsk,26,3,2017,26,3,2017,0,2000-4999,,2000,"price increases, tax policy",arrests,,2000-4999,,
Europe,Belarus,Minsk,8,9,2017,8,9,2017,0,100-999,,protesters,"political behavior, process",ignore,,100-999,,
Europe,Belarus,national,8,3,2018,8,3,2018,0,100-999,,women,social restrictions,ignore,,100-999,,
Europe,Belarus,Minsk,24,3,2018,24,3,2018,0,100-999,,opposition,"political behavior, process",arrests,,100-999,,
Europe,Belgium,"Brussels, Capital Region",26,5,2009,26,5,2009,0,1000-1999,,dairy farmers,"price increases, tax policy",ignore,,1000-1999,,
Europe,Belgium,"Brussels, Capital Region",23,1,2011,23,1,2011,0,>10000,,protesters,"political behavior, process",ignore,,>10000,,
Europe,Belgium,"Brussels, Capital Region",8,10,2013,8,10,2013,1,50-99,,firemen,labor wage dispute,accomodation,,50-99,,
Europe,Belgium,Brussels,6,11,2014,6,11,2014,1,50-99,,protesters,"political behavior, process",crowd dispersal,,50-99,,
Europe,Belgium,nation wide,15,12,2014,15,12,2014,1,100-999,,"unions, workers","political behavior, process",ignore,,100-999,,
Europe,Belgium,Brussels,5,9,2015,5,9,2015,1,2000-4999,,farmers,"price increases, tax policy",crowd dispersal,,2000-4999,,
Europe,Belgium,Brussels,15,2,2016,15,2,2016,0,5000-10000,,steel workers,"political behavior, process",ignore,,5000-10000,,
Europe,Belgium,Brussels,28,3,2016,28,3,2016,0,100-999,,neo Nazi thugs,"political behavior, process",crowd dispersal,,100-999,,
Europe,Belgium,Brussels,2,4,2016,2,4,2016,1,50-99,,Flemish,"political behavior, process",crowd dispersal,,50-99,,
Europe,Belgium,Molenbeek,4,4,2016,4,4,2016,1,100-999,,far right protesters,"political behavior, process",arrests,crowd dispersal,100-999,,
Europe,Belgium,Brussels,24,5,2016,24,5,2016,1,>10000,,anti austerity protesters,"political behavior, process",crowd dispersal,arrests,>10000,,
Europe,Belgium,Gare du Nord Brussels,15,1,2018,15,1,2018,0,2000-4999,,Demonstrators trying to prevent a police raid against migrants,police brutality,ignore,,2000-4999,,
Europe,Belgium,Brussels,20,11,2018,20,11,2018,1,100-999,,Protesters inspired by France s  yellow vests  demanding that Prime Minister Charles Michel resign,removal of politician,arrests,crowd dispersal,100-999,,
Europe,Belgium,Belgium,8,12,2018,8,12,2018,1,1000-1999,,Yellow Vests protesters against economic distress,"political behavior, process",arrests,crowd dispersal,1000-1999,,
Europe,Belgium,Brussels,16,12,2018,16,12,2018,0,1000-1999,,"Protesters supporting the decision of Charles Michel, the prime minister, to sign the UN treaty on migration","political behavior, process",ignore,,1000-1999,,
Europe,Belgium,Brussels,16,12,2018,16,12,2018,1,5000-10000,,"Protesters organized by right wing Flemish parties, protesting the decision of Charles Michel, the prime minister, to sign the UN treaty on migration","political behavior, process",arrests,crowd dispersal,5000-10000,,
Europe,Belgium,Nationwide,10,1,2019,10,1,2019,0,2000-4999,,Protesters demanding action against climate change,"political behavior, process",ignore,,2000-4999,,
Europe,Belgium,Nationwide,17,1,2019,17,1,2019,0,2000-4999,,Protesters demanding action against climate change,"political behavior, process",ignore,,2000-4999,,
Europe,Belgium,Nationwide,24,1,2019,24,1,2019,0,2000-4999,,Protesters demanding action against climate change,"political behavior, process",ignore,,2000-4999,,
Europe,Belgium,Brussels,26,1,2019,26,1,2019,0,>10000,,Protesters demanding action against climate change,"political behavior, process",ignore,,>10000,,
Europe,Belgium,Nationwide,31,1,2019,31,1,2019,0,>10000,,Protesters demanding action against climate change,"political behavior, process",ignore,,>10000,,
Europe,Bosnia,Sarajevo,3,1,2009,3,1,2009,0,100-999,,protesters,"political behavior, process",ignore,,100-999,,
Europe,Bosnia,Sarajevo,6,6,2013,7,6,2013,1,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Bosnia,Sarajevo,11,6,2013,11,6,2013,0,5000-10000,,Bosnians,"political behavior, process",ignore,,5000-10000,,
Europe,Bosnia,Sarajevo,1,7,2013,1,7,2013,0,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Bosnia,National,4,2,2014,7,2,2014,1,2000-4999,,protesters,"political behavior, process",crowd dispersal,,2000-4999,,
Europe,Bosnia,Sarajevo,8,2,2014,8,2,2014,0,100-999,,protesters,"political behavior, process",ignore,,100-999,,
Europe,Bosnia,"Sarajevo, Mostar, Bugojno",9,2,2014,9,2,2014,1,100-999,,protesters,"political behavior, process",ignore,,100-999,,
Europe,Bosnia,National,10,2,2014,10,2,2014,0,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Bosnia,Sarajevo,11,2,2014,11,2,2014,0,2000-4999,,protesters,"political behavior, process",ignore,,2000-4999,,
Europe,Bosnia,Sarajevo,30,7,2015,30,7,2015,0,2000-4999,,workers,labor wage dispute,ignore,,2000-4999,,
Europe,Bosnia,Sarajevo,4,5,2018,4,5,2018,0,100-999,,veterans,"political behavior, process",ignore,,100-999,,
Europe,Bosnia,Banja Luka,10,5,2018,10,5,2018,0,2000-4999,,activists; Justice for David,police brutality,ignore,,2000-4999,,
Europe,Bosnia,Sarajevo; Banja Luka,15,5,2018,15,5,2018,0,5000-10000,,activists; Justice for David,police brutality,ignore,,5000-10000,,
Europe,Bosnia,Banja Luka,7,7,2018,7,7,2018,0,5000-10000,,activists; Justice for David,police brutality,ignore,,5000-10000,,
Europe,Bosnia,Banja Luka,27,8,2018,27,8,2018,0,100-999,,journalists; activists; Justice for David,police brutality,ignore,,100-999,,
Europe,Bosnia,Sarajevo,5,9,2018,5,9,2018,0,100-999,,veterans,"political behavior, process",crowd dispersal,beatings,100-999,,
Europe,Bosnia,Banja Luka,5,10,2018,6,10,2018,0,2000-4999,,activists; Justice for David,police brutality,ignore,,2000-4999,,
Europe,Bosnia,Mostar,11,10,2018,11,10,2018,0,5000-10000,,Croat nationalists,"political behavior, process",ignore,,5000-10000,,
Europe,Bosnia,Banja Luka,26,12,2018,26,12,2018,0,1000-1999,,activists; Justice for David,police brutality,ignore,,1000-1999,,
Europe,Bosnia,Banja Luka,30,12,2018,30,12,2018,0,5000-10000,,activists; Justice for David,police brutality,crowd dispersal,arrests,5000-10000,,
Europe,Bosnia,Banja Luka,25,12,2018,8,1,2019,0,100-999,,activists; Justice for David,police brutality,accomodation,,100-999,,
Europe,Bulgaria,Sofia,14,1,2009,15,1,2009,1,2000-4999,,"Bulgarians, protesters, farmers, students, environmentalist activists","political behavior, process",crowd dispersal,arrests,2000-4999,,
Europe,Bulgaria,Sofia,21,1,2009,21,1,2009,0,50-99,,"students, teachers, doctors and public servants","political behavior, process",ignore,,50-99,,
Europe,Bulgaria,Sofia,15,3,2009,15,3,2009,0,5000-10000,,police officers,labor wage dispute,ignore,,5000-10000,,
Europe,Bulgaria,Sofia,26,2,2011,26,2,2011,1,100-999,,"CSKA fans, soccer hooligans",police brutality,crowd dispersal,arrests,100-999,,
Europe,Bulgaria,nationwide,15,3,2011,15,3,2011,0,2000-4999,,motorists,"price increases, tax policy",accomodation,,2000-4999,,
Europe,Bulgaria,Sofia,18,6,2011,18,6,2011,0,1000-1999,,gay pride activists,social restrictions,ignore,,1000-1999,,
Europe,Bulgaria,Marista East Mines,15,1,2012,22,1,2012,0,50-99,,miners,labor wage dispute,ignore,,50-99,,
Europe,Bulgaria,nationwide,11,2,2012,11,2,2012,0,5000-10000,,protesters,"political behavior, process",crowd dispersal,accomodation,5000-10000,,
Europe,Bulgaria,Sofia,11,4,2012,11,4,2012,1,50-99,,students from Bulgaria s National Sports Academy  NSA ,land farm issue,ignore,,50-99,,
Europe,Bulgaria,Sofia,18,4,2012,18,4,2012,0,1000-1999,,students and teachers from Bulgaria s National Sports Academy  NSA ,land farm issue,ignore,,1000-1999,,
Europe,Bulgaria,Sofia,30,6,2012,30,6,2012,0,2000-4999,,gay rights activists,social restrictions,ignore,,2000-4999,,
Europe,Bulgaria,nationwide,10,2,2013,24,2,2013,1,>10000,,Bulgarians,"price increases, tax policy",ignore,accomodation,>10000,,
Europe,Bulgaria,nationwide,14,6,2013,18,12,2013,1,2000-4999,,Bulgarians,removal of politician,ignore,accomodation,2000-4999,,
Europe,Bulgaria,Sofia,25,9,2013,25,9,2013,0,1000-1999,,Bulgarian Post employees,labor wage dispute,accomodation,,1000-1999,,
Europe,Bulgaria,Sofia,23,10,2013,15,11,2013,0,2000-4999,,university students,"political behavior, process",ignore,crowd dispersal,2000-4999,,
Europe,Bulgaria,Sofia,21,11,2013,21,11,2013,0,2000-4999,,"Bulgarians, students","political behavior, process",ignore,,2000-4999,,
Europe,Bulgaria,Sofia and other cities,29,8,2014,29,8,2014,0,100-999,,protesters,"political behavior, process",ignore,,100-999,,
Europe,Bulgaria,Sofia,11,12,2014,11,12,2014,0,5000-10000,,Confederation of Independent Trade Unions in Bulgaria  CITUB ,labor wage dispute,accomodation,,5000-10000,,
Europe,Bulgaria,Harmanli,24,11,2016,24,11,2016,1,100-999,,migrants,"political behavior, process",crowd dispersal,,100-999,,
Europe,Bulgaria,Sofia,11,1,2018,11,1,2018,0,50-99,,police officers,labor wage dispute,ignore,,50-99,,
Europe,Bulgaria,Sofia,11,1,2018,11,1,2018,0,2000-4999,,environmentalists,land farm issue,ignore,,2000-4999,,
Europe,Bulgaria,national,11,11,2018,11,11,2018,0,5000-10000,,protesters,"price increases, tax policy",ignore,,5000-10000,,
Europe,Bulgaria,Sofia,29,11,2018,29,11,2018,0,2000-4999,,coal miners,"political behavior, process",ignore,,2000-4999,,
Europe,Croatia,Zagreb,23,9,2010,23,9,2010,0,2000-4999,,Croatians protest over shipyard sales,"price increases, tax policy",ignore,,2000-4999,,
Europe,Croatia,Zagreb,26,2,2011,26,2,2011,0,>10000,,protesters,"political behavior, process",ignore,,>10000,,
Europe,Croatia,Zagreb,15,4,2011,15,4,2011,0,50-99,,protesters,"political behavior, process",ignore,,50-99,,
Europe,Croatia,Zagreb,21,1,2012,21,1,2012,1,1000-1999,,war veterans and right wing protesters,"political behavior, process",crowd dispersal,,1000-1999,,
Europe,Croatia,Zagreb,7,4,2013,7,4,2013,0,>10000,,protesters,"political behavior, process",ignore,,>10000,,
Europe,Croatia,Zagreb,2,12,2013,2,12,2013,0,50-99,,Gay rights supporters,social restrictions,ignore,,50-99,,
Europe,Croatia,Split; Zagreb; Dubrovnik,15,7,2017,15,7,2017,0,100-999,,taxi drivers,labor wage dispute,ignore,,100-999,,
Europe,Croatia,Split,12,4,2018,12,4,2018,0,>10000,,conservatives; Catholic church,social restrictions,ignore,,>10000,,
Europe,Croatia,Zagreb; Split; Rijeka,19,5,2018,19,5,2018,0,>10000,,anti abortion activists,social restrictions,ignore,,>10000,,
Europe,Croatia,Zagreb,9,6,2018,9,6,2018,0,5000-10000,,LGBT activists,social restrictions,ignore,,5000-10000,,
Europe,Croatia,Zagreb,27,8,2018,27,8,2018,0,100-999,,shipyard workers,labor wage dispute,ignore,,100-999,,
Europe,Croatia,Vukovar,13,10,2018,13,10,2018,0,2000-4999,,nationalists,"political behavior, process",ignore,,2000-4999,,
Europe,Croatia,Zagreb,15,10,2018,15,10,2018,0,100-999,,shipyard workers,labor wage dispute,ignore,,100-999,,
Europe,Croatia,Zagreb,2,3,2019,2,3,2019,0,100-999,,journalists,"political behavior, process",ignore,,100-999,,
Europe,Cyprus,Nicosia,16,2,2009,16,2,2009,1,100-999,,cabaret owners,labor wage dispute,crowd dispersal,accomodation,100-999,,
Europe,Cyprus,Larnaca and Limassol,26,2,2009,27,2,2009,0,100-999,, Port Authority Navigation Staff trade union  SYPYALK ,labor wage dispute,ignore,,100-999,,
Europe,Cyprus,Nicosia,7,3,2009,7,3,2009,0,100-999,,Greek Cypriot and Turkish Cypriot Teachers  Platform United Cyprus,"political behavior, process",ignore,,100-999,,
Europe,Cyprus,Nicosia,20,3,2009,20,3,2009,0,100-999,,Cypriots,"political behavior, process",ignore,,100-999,,
Europe,Cyprus,Nicosia,28,3,2009,28,3,2009,0,100-999,,Cypriots,"political behavior, process",crowd dispersal,,100-999,,
Europe,Cyprus,Nicosia,25,5,2009,25,5,2009,0,100-999,,"bus drivers, Cyprus Rural Bus Association  PSAL ",labor wage dispute,accomodation,,100-999,,
Europe,Cyprus,Peyia,4,6,2009,4,6,2009,0,100-999,,demonstrators,land farm issue,crowd dispersal,,100-999,,
Europe,Cyprus,Nicosia,6,7,2009,6,7,2009,0,100-999,,rural bus drivers,labor wage dispute,ignore,,100-999,,
Europe,Cyprus,Nicosia,20,7,2009,20,7,2009,0,50-99,,protesters,"political behavior, process",arrests,,50-99,,
Europe,Cyprus,Nicosia,21,7,2009,21,7,2009,0,50-99,,Pancyprian Taxi Drivers  Union,labor wage dispute,ignore,,50-99,,
Europe,Cyprus,Nicosia,4,10,2009,4,10,2009,0,100-999,,"KISA, Old Nicosia residents  movement Awake within the Walls, Alert Cy, Cypriot human rights  organisations and migrant communities",police brutality,ignore,,100-999,,
Europe,Cyprus,Nicosia,7,10,2009,7,10,2009,0,50-99,,students,"price increases, tax policy",ignore,,50-99,,
Europe,Cyprus,Nicosia,11,10,2009,11,10,2009,1,100-999,,youth,police brutality,crowd dispersal,arrests,100-999,,
Europe,Cyprus,Limassol,29,10,2009,29,10,2009,0,100-999,,postmen,labor wage dispute,ignore,,100-999,,
Europe,Cyprus,Nicosia,23,11,2009,23,11,2009,1,2000-4999,,"Turkish Cypriots,  Thirty unions led by the Turkish Cypriot Teachers Union  KTOS  ",labor wage dispute,crowd dispersal,arrests,2000-4999,,
Europe,Cyprus,Larnaca,7,12,2009,7,12,2009,1,100-999,,teenagers,police brutality,crowd dispersal,,100-999,,
Europe,Cyprus,Nicosia,27,12,2009,27,12,2009,0,50-99,,ELAM  Ethniko Laiko Metopo or National Popular Front ,"political behavior, process",crowd dispersal,,50-99,,
Europe,Cyprus,Nicosia,1,2,2010,1,2,2010,0,1000-1999,,"youth, teachers, civil servants, Turkish Cypriots","political behavior, process",crowd dispersal,,1000-1999,,
Europe,Cyprus,Nicosia,17,5,2010,11,6,2010,0,100-999,,"Kurdish Syrians refugees, Kurdish Syrian Yekiti Party","political behavior, process",ignore,crowd dispersal,100-999,,
